Instrument,DSPLY_NMLL,COUNTRY
BRCOVD=ECI,COVID19 Tot Cases WHO,BRA
BRDCOV=ECI,NCOV19 Deaths RTR,BRA
BRNCOV=ECI,NCOV19 New Cases RTR,BRA
BRRCOV=ECI,NCOV19 Recovered RTR,BRA
BSACOV=ECI,NCOV19 Act Cases RTR,BHS
BSCCOV=ECI,NCOV19 Tot Cases RTR,BHS
BSCOVD=ECI,COVID19 Tot Cases WHO,BHS
BSDCOV=ECI,NCOV19 Deaths RTR,BHS
BSNCOV=ECI,NCOV19 New Cases RTR,BHS
BSRCOV=ECI,NCOV19 Recovered RTR,BHS
BTACOV=ECI,NCOV19 Act Cases RTR,BTN
BTCCOV=ECI,NCOV19 Tot Cases RTR,BTN
BTCOVD=ECI,COVID19 Tot Cases WHO,BTN
BTDCOV=ECI,NCOV19 Deaths RTR,BTN
BTNCOV=ECI,NCOV19 New Cases RTR,BTN
BTRCOV=ECI,NCOV19 Recovered RTR,BTN
BWACOV=ECI,NCOV19 Act Cases RTR,BWA
BWCCOV=ECI,NCOV19 Tot Cases RTR,BWA
BWCOVD=ECI,COVID19 Tot Cases WHO,BWA
BWDCOV=ECI,NCOV19 Deaths RTR,BWA
BWNCOV=ECI,NCOV19 New Cases RTR,BWA
BWRCOV=ECI,NCOV19 Recovered RTR,BWA
BYACOV=ECI,NCOV19 Act Cases RTR,BLR
BYCCOV=ECI,NCOV19 Tot Cases RTR,BLR
BYCOVD=ECI,COVID19 Tot Cases WHO,BLR
BYDCOV=ECI,NCOV19 Deaths RTR,BLR
BYNCOV=ECI,NCOV19 New Cases RTR,BLR
BYRCOV=ECI,NCOV19 Recovered RTR,BLR
BZACOV=ECI,NCOV19 Act Cases RTR,BLZ
BZCCOV=ECI,NCOV19 Tot Cases RTR,BLZ
BZCOVD=ECI,COVID19 Tot Cases WHO,BLZ
BZDCOV=ECI,NCOV19 Deaths RTR,BLZ
BZNCOV=ECI,NCOV19 New Cases RTR,BLZ
BZRCOV=ECI,NCOV19 Recovered RTR,BLZ
CAACOV=ECI,NCOV19 Act Cases RTR,CAN
CACCOV=ECI,NCOV19 Tot Cases RTR,CAN
CACOVD=ECI,COVID19 Tot Cases WHO,CAN
CADCOV=ECI,NCOV19 Deaths RTR,CAN
CANCOV=ECI,NCOV19 New Cases RTR,CAN
CARCOV=ECI,NCOV19 Recovered RTR,CAN
CDACOV=ECI,NCOV19 Act Cases RTR,COD
CDCCOV=ECI,NCOV19 Tot Cases RTR,COD
CDCOVD=ECI,COVID19 Tot Cases WHO,COD
CDDCOV=ECI,NCOV19 Deaths RTR,COD
CDNCOV=ECI,NCOV19 New Cases RTR,COD
CDRCOV=ECI,NCOV19 Recovered RTR,COD
CFACOV=ECI,NCOV19 Act Cases RTR,CAF
CFCCOV=ECI,NCOV19 Tot Cases RTR,CAF
CFCOVD=ECI,COVID19 Tot Cases WHO,CAF
CFDCOV=ECI,NCOV19 Deaths RTR,CAF
CFNCOV=ECI,NCOV19 New Cases RTR,CAF
CFRCOV=ECI,NCOV19 Recovered RTR,CAF
CGACOV=ECI,NCOV19 Act Cases RTR,COG
CGCCOV=ECI,NCOV19 Tot Cases RTR,COG
CGCOVD=ECI,COVID19 Tot Cases WHO,COG
CGDCOV=ECI,NCOV19 Deaths RTR,COG
CGNCOV=ECI,NCOV19 New Cases RTR,COG
CGRCOV=ECI,NCOV19 Recovered RTR,COG
CHACOV=ECI,NCOV19 Act Cases RTR,CHE
CHCCOV=ECI,NCOV19 Tot Cases RTR,CHE
CHCOVD=ECI,COVID19 Tot Cases WHO,CHE
CHDCOV=ECI,NCOV19 Deaths RTR,CHE
CHNCOV=ECI,NCOV19 New Cases RTR,CHE
